Alias	RecipientFilter
DDG_AMS_ALL	((((((CustomAttribute3 -eq 'LBG') -or (CustomAttribute3 -eq 'AMS') -or (CustomAttribute3 -eq 'UK'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_bhz_all	((((CustomAttribute3 -eq 'BHZ') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_BJS_ALL	((((CustomAttribute3 -eq 'BJS') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_BNA_ALL	((((((CustomAttribute3 -eq 'MCN') -or (CustomAttribute3 -eq 'BNA'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_bra_all	((((((CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq 'BHZ') -or (CustomAttribute3 -eq 'BOT') -or (CustomAttribute3 -eq 'BSB2') -or (CustomAttribute3 -eq 'CGR') -or (CustomAttribute3 -eq 'EGM') -or (CustomAttribute3 -eq 'ESC') -or (CustomAttribute3 -eq 'ETTE') -or (CustomAttribute3 -eq 'FLN') -or (CustomAttribute3 -eq 'GPX') -or (CustomAttribute3 -eq 'PTE') -or (CustomAttribute3 -eq 'SJK') -or (CustomAttribute3 -eq 'SOD') -or (CustomAttribute3 -eq 'TTE') -or (CustomAttribute3 -eq 'VCP') -or (CustomAttribute3 -eq 'BSB'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
BOT	((((CustomAttribute3 -eq 'BOT') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_fln_all	((((CustomAttribute4 -eq 'Employee') -and (((CustomAttribute9 -eq 'FLN1') -or (CustomAttribute9 -eq 'FLN'))) -and (RecipientType -eq 'UserMailbox'))) ))
DDG_EVE_EGM	((((CustomAttribute3 -eq 'EVE') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_EMEA_ALL	((((((CustomAttribute3 -eq 'UK') -or (CustomAttribute3 -eq 'SIN') -or (CustomAttribute3 -eq 'PRT') -or (CustomAttribute3 -eq 'NZD') -or (CustomAttribute3 -eq 'Moscow') -or (CustomAttribute3 -eq 'MIMO') -or (CustomAttribute3 -eq 'LBG') -or (CustomAttribute3 -eq 'JPN') -or (CustomAttribute3 -eq 'JOR') -or (CustomAttribute3 -eq 'JNB') -or (CustomAttribute3 -eq 'IND') -or (CustomAttribute3 -eq 'HUN') -or (CustomAttribute3 -eq 'FRA') -or (CustomAttribute3 -eq 'EVO') -or (CustomAttribute3 -eq 'DXB') -or (CustomAttribute3 -eq 'DEU') -or (CustomAttribute3 -eq 'Brussels') -or (CustomAttribute3 -eq 'BJS') -or (CustomAttribute3 -eq 'AUS') -or (CustomAttribute3 -eq 'AMS'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_ede_all	((((((CustomAttribute3 -eq 'ETTE') -or (CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq '9901'))) -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_egm_all	((((CustomAttribute3 -eq 'EGM') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_FLL_ALL	((((CustomAttribute3 -eq 'FLL') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
DDG_EVO_ALL	((((CustomAttribute3 -eq 'EVO') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_bsb_all	((((CustomAttribute3 -eq 'BSB') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
ddg_esc_all	((((CustomAttribute3 -eq 'ESC') -and (CustomAttribute4 -eq 'Employee') -and (RecipientType -eq 'UserMailbox'))) ))
