"DisplayName","Mail"
"[EU] Gest?o de Informa??es","EUGestodeInformaes@embraer.onmicrosoft.com"
"2021 ALTA - Oct. 24-26","2021ISTATMiamiConclave-com@embraer.onmicrosoft.com"
"3P - G1550","3P-G1550@embraer.onmicrosoft.com"
"AFTMKT FAQ 2022","AFTFAQ2022@embraer.onmicrosoft.com"
"Alignment of Tool & Shop Aid Procedures","AlignmentofToolShopAidProcedures@embraer.onmicrosoft.com"
"Alinhamento Atividades Equipagem","AlinhamentoAtividadesEquipagem@embraer.onmicrosoft.com"
"Amcs","Amcs@embraer.onmicrosoft.com"
"AMS","ams927@embraer.onmicrosoft.com"
"AN?LISE PARA JIRAS ESCAPES","ESCAPETUBULAO@embraer.onmicrosoft.com"
"Anota??o","Anotao@embraer.onmicrosoft.com"
"Apoio a BS do KC","ApoioaBSdoKC@embraer.onmicrosoft.com"
"Aprova??o de RC MANUT","AprovaodeRCMANUT@embraer.onmicrosoft.com"
"Arquitetura HCM - SF/LMS/","ArquiteturaHCM-SFLMS@embraer.onmicrosoft.com"
"Auditoria VCP","AuditoriaVCP@embraer.onmicrosoft.com"
"Baterias PPV Praetor","BateriasPPVPraetor@embraer.onmicrosoft.com"
"BID FERRAMENTAS EMBRAER","BIDFERRAMENTASEMBRAER@embraer.onmicrosoft.com"
"BNA - IT","BNA-IT@embraer.onmicrosoft.com"
"BNA_Supervisors","BNA_Supervisors@embraer.onmicrosoft.com"
"Brigada de Emerg?ncia GPX","BrigadadeEmergnciaGPX818@embraer.onmicrosoft.com"
"Caf? de despedida do Renato","CafdedespedidadoRenato@embraer.onmicrosoft.com"
"Cargo Facts Subscription Renewal - Dec. 1","CargoFactsSubscriptionRenewal-Dec1@embraer.onmicrosoft.com"
"Cargueiro E1 195F","CargueiroE1195F-com@embraer.onmicrosoft.com"
"CATCHBALL 2021-2022","CATCHBALL2021-2022@embraer.onmicrosoft.com"
"CE - POWERPLANT","CE-POWERPLANT@embraer.onmicrosoft.com"
"C?lula 220 - Montagem de material composto","Clula220-Montagemdematerialcomposto@embraer.onmicrosoft.com"
"C?lula 276 - Pintura de material composto","Clula276-Pinturadematerialcomposto@embraer.onmicrosoft.com"
"C?lula 321 - 7S","Clula321-5S@embraer.onmicrosoft.com"
"C?lula 577 - Montagem dos tanques","Clula577-Montagemdostanques@embraer.onmicrosoft.com"
"C?lula 675 - Eng. De manufatura em desenvolvimento de  produtos - Avia??o comercial","Clula675-Eng.Demanufaturaemdesenvolvimentodeprodutos-Aviaoco@embraer.onmicrosoft.com"
"C?lula 92 - Fabrica??o de cablagens","Clula92-Fabricaodecablagens@embraer.onmicrosoft.com"
"C?lula 920 - Pintura e PPV","Clula920-PinturaePPV@embraer.onmicrosoft.com"
"C?lulas: 157, 409 e 518","Clula157-USTSeEND@embraer.onmicrosoft.com"
"C?lulas: 179, 180 e 519","Clula179-Conj.etubulaeseClula180-MontagemdepilonesEmbraer@embraer.onmicrosoft.com"
"C?lulas: 209 e 424","Clula209-Fabricaodematerialcomposto@embraer.onmicrosoft.com"
"Chile Lote 3","ChileLote3@embraer.onmicrosoft.com"
"CLIN. QUAL. BARRA PINOS 1018441/108442","CLIN.QUAL.BARRAPINOS1018441108442@embraer.onmicrosoft.com"
"Clinica da Qualidade","ClinicadaQualidade@embraer.onmicrosoft.com"
"Collins as subtier - Strategic overview","Collinsassubtier-Strategicoverview@embraer.onmicrosoft.com"
"Commercial Sales & Marketing","CommercialSalesMarketing@embraer.onmicrosoft.com"
"Commitment Letter Database","CommitmentLetterDatabase-com@embraer.onmicrosoft.com"
"Configura??o do E-Parts - Defense para a unidade de Amsterdam no Mytechcare","ConfiguraodoE-Parts-DefenseparaaunidadedeAmsterdamnoMytechca@embraer.onmicrosoft.com"
"Consultant Contract Details","ConsultantContractDetails@embraer.onmicrosoft.com"
"CONTROLE DE  PRODU??O","CONTROLEDEPRODUO@embraer.onmicrosoft.com"
"CONTROLE DE DESVIOS PRODUTIVOS - SEGMENTOS PHENOM","CONTROLEDEDESVIOSPRODUTIVOS-SEGMENTOSPHENOM@embraer.onmicrosoft.com"
"Controle e Revis?o de Doc.Emb dos T?cnicos","ControleeRevisodeDoc.EmbdosTcnicos-com@embraer.onmicrosoft.com"
"Coordena??o obras vale do para?ba (RMVale)","CoordenaoobrasvaledoparabaRMVale@embraer.onmicrosoft.com"
"CRM","CRM867@embraer.onmicrosoft.com"
"CRM - Estrutura/Mont.Final/PPV/Pintura","CRM-EstruturaMont.FinalPPVPintura@embraer.onmicrosoft.com"
"CROMO LLI - HSI & SIK","CROMOLLI@embraer.onmicrosoft.com"
"Curso Simulador EDS VEC (FASE 1)","EDS_VEC@embraer.onmicrosoft.com"
"Custo do Pilone em Rela??o a Ferr. de Cortes","CustodoPiloneemRelaoaFerr.deCortes@embraer.onmicrosoft.com"
"Daily meetings 1?T","Jira-com@embraer.onmicrosoft.com"
"DC Gauss MLB","DCGaussMLB@embraer.onmicrosoft.com"
"DC Miss?o Portugal","MissoPortugal-ApoionasduvidasquantoemissodeDC@embraer.onmicrosoft.com"
"Delivery - 50500745 - Munday Aviation, LLC","Delivery-50500745-MundayAviationLLC@embraer.onmicrosoft.com"
"Demandas PAT 2022","DemandasPAT2022@embraer.onmicrosoft.com"
"Desafio IA","DesafioIA@embraer.onmicrosoft.com"
"DIP KC - MONTAGEM FINAL","MFKC-DIP@embraer.onmicrosoft.com"
"Discuss?o de Processos - Front","DiscussodeProcessos-Front@embraer.onmicrosoft.com"
"DM - Embraer","DM-Embraer@embraer.onmicrosoft.com"
"Documenta??o 2? T - Praetor","PassagemdeDocumentao-Praetor@embraer.onmicrosoft.com"
"DQR Inspection & FAI Team","DQRInspectionFAITeam-com@embraer.onmicrosoft.com"
"D?VIDAS ADVISORY BOARD","DVIDASADVISORYBOARD@embraer.onmicrosoft.com"
"EEJS - Unapplied Cash","EEJS-UnappliedCash@embraer.onmicrosoft.com"
"EIR PHENOM/PREATORS - ENSAIOS","EIRPHENOMPREATORS-ENSAIOS@embraer.onmicrosoft.com"
"EMB-DBS Layout Re-Egineering","EMB-DBSLayoutRe-Egineering@embraer.onmicrosoft.com"
"EMBRAER:  Systems Engineering & Systems Architecting","embraersystemsengineeringsystemsarchitecting@embraer.onmicrosoft.com"
"EMEA Warehouse and Logistics","EMEAWarehouseandLogistics@embraer.onmicrosoft.com"
"Eng GPX","EngGPX@embraer.onmicrosoft.com"
"Ensaios de ades?o Lab. GPX","EnsaiosdeadesoLab.GPX@embraer.onmicrosoft.com"
"Entrega 19020095","Entrega19020095@embraer.onmicrosoft.com"
"Equipe teste Monitoramento de Delegados","EquipetesteMonitoramentodeDelegados@embraer.onmicrosoft.com"
"Estabilidade B?sica - Praetor","EstabilidadeBsica-Praetor@embraer.onmicrosoft.com"
"EVE - Diverg?ncias","EVE-Divergncias@embraer.onmicrosoft.com"
"Events Team Americas","EventsTeamAmericas-com@embraer.onmicrosoft.com"
"Exec Meeting UPCO 16/08","ExecMeetingUPCO1608@embraer.onmicrosoft.com"
"Expans?o Smartdash","ExpansoSmartdash-com@embraer.onmicrosoft.com"
"F4G & Obeya - IAE","F4GObeya-IAE@embraer.onmicrosoft.com"
"FAP DIP+Prog Team","FAPDIPProgTeam@embraer.onmicrosoft.com"
"FAP OSS / Warehouse project","FAPOSSWarehouseproject@embraer.onmicrosoft.com"
"FEIMEC","FEIMEC@embraer.onmicrosoft.com"
"Felipe *To do List*","FelipeTodoList@embraer.onmicrosoft.com"
"F?RIAS EQUIPE PILONE","FRIASEQUIPEPILONE@embraer.onmicrosoft.com"
"FFS","FFS@embraer.onmicrosoft.com"
"Finance & Controllership Excellence Manual Implementation US","FinanceControllershipExcellenceManualImplementationUS@embraer.onmicrosoft.com"
"Finance & Tax","FinanceTax@embraer.onmicrosoft.com"
"Financeiro ANN","FinanceiroANN@embraer.onmicrosoft.com"
"Fiscal - Internacional","Fiscal-Internacional@embraer.onmicrosoft.com"
"Fit For Growth - Pratt APU (KC-390)","FitForGrowth-PrattAPUKC-390@embraer.onmicrosoft.com"
"FLEET PERFORMANCE","FLEETPERFORMANCE879@embraer.onmicrosoft.com"
"Flight Data Analysis","FlightDataAnalysis-com@embraer.onmicrosoft.com"
"FLL Office","FLLOffice-com@embraer.onmicrosoft.com"
"F?rum de Neg?cios - VCP","FrumdeNegcios-VCP@embraer.onmicrosoft.com"
"FSR's EMEA","FSRsEMEA@embraer.onmicrosoft.com"
"FUP LLI","FUPLLI-com@embraer.onmicrosoft.com"
"Futuro do Trabalho - GMC","FuturodoTrabalho-GMC-com@embraer.onmicrosoft.com"
"GBC","GBC483@embraer.onmicrosoft.com"
"gcp-cloud-admin","gcp-cloud-admin@embraer.onmicrosoft.com"
"Gest?o de Atendimento RI","GestodeNotasRIs@embraer.onmicrosoft.com"
"Gest?o de Projetos GGQ","GestodeProjetosGGQ@embraer.onmicrosoft.com"
"GEST?O ENGESEG - EGM","EngesegEGM@embraer.onmicrosoft.com"
"GEST?O PBI UPP 2T","GESTOPBIUPP2T@embraer.onmicrosoft.com"
"Gest?o WT GPX-JAX","GestoWTGPX-JAX@embraer.onmicrosoft.com"
"GFA AMCS","GFAAMCS@embraer.onmicrosoft.com"
"GKA","gka972@embraer.onmicrosoft.com"
"GKX - Apoio durante Isolamento","GKX-ApoioduranteIsolamento@embraer.onmicrosoft.com"
"GRIRLs","GRIRLs@embraer.onmicrosoft.com"
"Group Test","GroupTest@embraer.onmicrosoft.com"
"Grupo 4 - Facilita??o Virtual","Grupo4-FacilitaoVirtual@embraer.onmicrosoft.com"
"GTO - Jun??o Fuselagem","GTO-JunoFuselagem@embraer.onmicrosoft.com"
"Hansei C390 Montagem Final","AssuntosrelacionadosHanseiC390MF@embraer.onmicrosoft.com"
"Homenagem Corbani","HomenagemCorbani@embraer.onmicrosoft.com"
"Honeywell Account FUP","HoneywellAccountFUP@embraer.onmicrosoft.com"
"HOP!","HOP@embraer.onmicrosoft.com"
"HRBP_VOP_GLOBAL","HRBP_VOP_GLOBAL@embraer.onmicrosoft.com"
"ICM Pratt","ICMPratt@embraer.onmicrosoft.com"
"INDIRECT - COST ENG.","INDIRECT-COSTENG@embraer.onmicrosoft.com"
"Inspe??o Praetor 20148","InspeoPraetor@embraer.onmicrosoft.com"
"Integra??o_DIRCM_Dezembro","Integrao_DIRCM_Dezembro@embraer.onmicrosoft.com"
"Inventories- Tool Control","Inventories@embraer.onmicrosoft.com"
"Invite Teams - Pavla","InviteTeams-Pavla@embraer.onmicrosoft.com"
"IPL Thunder , Chile e Filipinas","IPLThunder82@embraer.onmicrosoft.com"
"Itens de eSolve GSA","ItensdeeSolveGSA@embraer.onmicrosoft.com"
"Kaizen","Kaizen704@embraer.onmicrosoft.com"
"Kaizen - Redu??o de Custos Ferramentas de Corte Pilone (COGS)","Kaizen-ReduodeCustosFerramentasdeCortePiloneCOGS@embraer.onmicrosoft.com"
"Kaizen 3P - PNA VCP","Kaizen3P-PNAVCP@embraer.onmicrosoft.com"
"Kaizen PPV","KaizenPPV@embraer.onmicrosoft.com"
"Kaizen Tape DPR","KaizenTapeDPR@embraer.onmicrosoft.com"
"KC-390 - 3.9.1.1","KC-390-3.9.1.1@embraer.onmicrosoft.com"
"LAS March 3 Q&A - Questions Collector","LASMarch3QA-QuestionsCollector@embraer.onmicrosoft.com"
"LISTA HE - APOIO MF DEFESA","LISTAHE-APOIOMFKC@embraer.onmicrosoft.com"
"Log Card ELEB","LogCardELEB-com@embraer.onmicrosoft.com"
"Loganair","Loganair@embraer.onmicrosoft.com"
"LVN Airframe - Hangar Composite 446","LVNAirframe-HangarComposite446@embraer.onmicrosoft.com"
"Mapeamento de Processos","MapeamentodeProcessos@embraer.onmicrosoft.com"
"Mari","Mari@embraer.onmicrosoft.com"
"MIGO","MIGO@embraer.onmicrosoft.com"
"Migration Mapping - Mapa de Falhas","MigrationMapping-MapadeFalhas@embraer.onmicrosoft.com"
"Miss?o EASA - 25.783(f)/MDCD 190F","MissoEASA-25.783fMDCD190F@embraer.onmicrosoft.com"
"Miss?o Republic/CAE","MissoRepublicCAE@embraer.onmicrosoft.com"
"MLB Excellence Plan","MLBExcellencePlan@embraer.onmicrosoft.com"
"MLB PI/CTR","MLBPICTR@embraer.onmicrosoft.com"
"Modificacao Ferramental Pilone","ModificacaoFerramentalPilone@embraer.onmicrosoft.com"
"Modifica??es de Projeto Pilones","ModificaesdeProjetoPilones@embraer.onmicrosoft.com"
"Monitores do COBE","MonitoresdoCOBE@embraer.onmicrosoft.com"
"Monthly Pipeline Steering Review","MonthlyPipelineSteeringReview@embraer.onmicrosoft.com"
"MOTOR GE CF 34","MOTORGECF34@embraer.onmicrosoft.com"
"MRO_medi??es_E190F","mro_medies_e190f@embraer.onmicrosoft.com"
"MRSE / CRM - Executive Jets","MRSECRM-ExecutiveJets@embraer.onmicrosoft.com"
"My Tasks","MyTasks593-com@embraer.onmicrosoft.com"
"Obeya - Mecatr?nica","ConveroSolidworksCatiaM200@embraer.onmicrosoft.com"
"Office of CIO - Focal points","OfficeofCIO-Focalpoints@embraer.onmicrosoft.com"
"Ozires Awards  5S","OziresAwards5S@embraer.onmicrosoft.com"
"Pai Belarmino e Simone","PaiBelarminoeSimone@embraer.onmicrosoft.com"
"Painting & sealing F-210/F-41","PaintingsealingF-210F-41@embraer.onmicrosoft.com"
"Pasagem KC-390-MF","PasagemKC-390-MF@embraer.onmicrosoft.com"
"Passagem de servi?o","Passagemdeservio578@embraer.onmicrosoft.com"
"Passagem de servi?o - Executivo (Controle)","Passagemdeservio-Executivo@embraer.onmicrosoft.com"
"PCR 170903 - WING - JAA PIN LENGTH STUDY - Revisao das pegas","PCR170903-WING-JAAPINLENGTHSTUDY-Revisaodaspegas@embraer.onmicrosoft.com"
"PE-PA Controladoria","PA2022@embraer.onmicrosoft.com"
"Personal Rodrigo","PersonalRodrigo@embraer.onmicrosoft.com"
"Placard - PCR 172410 OV","Placard-PCR172410OV@embraer.onmicrosoft.com"
"PLANEJAMENTO FABRICA??O","PLANEJAMENTOFABRICAO-com@embraer.onmicrosoft.com"
"Planejamento GBO","ControledeOramento@embraer.onmicrosoft.com"
"Planejamento Phenom e Praetor - BOT","PlanejamentoPhenomePraetor-BOT@embraer.onmicrosoft.com"
"Portal ELEB Devs","PortalELEBDevs-com@embraer.onmicrosoft.com"
"Portas TDP E2","PortasTDPE2@embraer.onmicrosoft.com"
"PPG VISIT | WORKSHOP","PPGVISITWORKSHOP@embraer.onmicrosoft.com"
"PR-AYO WP 13789","PR-AYOWP13789@embraer.onmicrosoft.com"
"Prendedores Tempor?rios Pilones","PrendedoresTemporriosPilones@embraer.onmicrosoft.com"
"PRIORIDADES_RECEBIMENTO","PRIORIDADES_RECEBIMENTO@embraer.onmicrosoft.com"
"Problemas de sucata","Problemasdesucata@embraer.onmicrosoft.com"
"Projects","Projects510@embraer.onmicrosoft.com"
"Projeto 3P - Incorpora??o de PN Avi?o na unidade Campinas - Qualidade","msteams_2fee26@embraer.onmicrosoft.com"
"PROJETO DEFESA - EMB 314 ST","PROJETODEFESA-EMB314ST@embraer.onmicrosoft.com"
"Projeto Est?gio Alex","ProjetoEstgioAlex@embraer.onmicrosoft.com"
"Projeto Interiores - Home Office","ProjetoInteriores-HomeOffice@embraer.onmicrosoft.com"
"Projeto Lean","ProjetoLean@embraer.onmicrosoft.com"
"Projeto Toyota F220 (Provis?rio)","ProjetoToyotaF220Provisrio@embraer.onmicrosoft.com"
"Quadro gest?o","Quadrogesto@embraer.onmicrosoft.com"
"Qualidade LOG Central","QualidadeLOGCentral@embraer.onmicrosoft.com"
"Qualidade UPG","QualidadeUPG-com@embraer.onmicrosoft.com"
"Quality Gate","QualityGate@embraer.onmicrosoft.com"
"Resposta Matt - Temporary","RespostaMatt-Temporary@embraer.onmicrosoft.com"
"RTLI 3.4.4.3 - MIL STD-464A","RTLI3.4.4.3-MILSTD-464A@embraer.onmicrosoft.com"
"S&OP Flight Ops & Training","SOPFlightOpsTraining@embraer.onmicrosoft.com"
"SAP Tracking","SAPTracking@embraer.onmicrosoft.com"
"SAP Tracking Log","SAPTrackingLog@embraer.onmicrosoft.com"
"saved items","saveditems@embraer.onmicrosoft.com"
"SCP - SuccessFactors","SCP-SuccessFactors@embraer.onmicrosoft.com"
"SDC 991604 - ETOPS 120 minutos","SDC991604-ETOPS120minutos@embraer.onmicrosoft.com"
"SE-Hydromec","SE-Hydromec@embraer.onmicrosoft.com"
"Sikorsky A??es DQR ELEB","SikorskyAesDQRELEB-com@embraer.onmicrosoft.com"
"Sikorsky A??es DQR EMBRAER","FAIEMBRAER-FUP-com@embraer.onmicrosoft.com"
"Singapore Airshow (SAS)","mallika@embraer.onmicrosoft.com"
"Sistema de Medi??o Pilone","SistemadeMedioPilone@embraer.onmicrosoft.com"
"Source Inspection EZ Air","SourceInspectionEZAir@embraer.onmicrosoft.com"
"Source Inspection EZ Air","SourceInspectionEZAi@embraer.onmicrosoft.com"
"Special Project","SpecialProject@embraer.onmicrosoft.com"
"Special Projects","SpecialProjects_InteriorDesignEEA@embraer.onmicrosoft.com"
"Special Projects","SpecialProjects@embraer.onmicrosoft.com"
